Stories,FinSqft,Bedrms,Baths,LotSize,SaleDate,month,SalePrice,Ald,Age,FullBase,Attic,FIREPLACE,AIR_CONDITIONING,Garage,X,Y
1,963,3,1.5,5830,2012,7,105000,2,56,1,0,0,1,1,2530023.07,411131.9356
1,936,3,1,6000,2012,4,72000,2,62,1,0,0,1,1,2531411.867,410734.4231
1,925,3,1,6350,2012,11,55500,2,55,1,0,0,0,1,2530138.456,412945.8795
1,918,2,1,7280,2012,10,45000,2,72,0,0,1,0,1,2537251.053,405621.0606
1,909,3,1.5,8192,2012,5,80000,2,55,1,0,0,1,1,2529060.895,418751.9882
1,888,2,1.5,5000,2012,7,67900,2,54,1,0,0,1,1,2535393.343,407834.9029
1,864,3,1,8000,2012,6,55200,2,57,1,0,0,0,1,2532622.714,413517.2975
1,844,2,2,4800,2012,8,40000,2,65,1,0,0,0,1,2536926.986,408341.509
1,794,2,1,4800,2012,1,62000,2,62,1,0,0,1,1,2533297.123,404720.8124
1,784,2,1,4800,2012,8,40000,2,56,1,0,0,1,1,2535119.054,414899.6321
1,756,2,1,6000,2012,8,50000,2,57,1,0,0,1,1,2531540.195,410321.0231
1,1231,3,1,4800,2012,7,50000,2,80,1,1,0,1,1,2534562.248,411659.1699
1,1174,2,2,4800,2012,3,97500,2,90,1,1,1,1,0,2537061.499,406991.4344
1,1486,3,1.5,12895,2012,8,108000,2,57,0,1,2,1,1,2531495.656,412210.0812
2,2402,6,3,8820,2012,1,102500,2,31,1,0,0,0,0,2521861.114,420218.9998
2,2880,5,3,7680,2012,5,104000,2,59,1,0,0,1,1,2537606.875,412027.235
2,2522,5,3,8064,2012,2,130000,2,55,1,0,0,1,1,2534252.617,410872.9491
1,1488,3,1.5,5400,2012,8,158000,3,56,1,0,0,1,0,2562113.803,397769.1459
2,5160,5,4,9000,2012,4,720000,3,106,1,1,3,1,1,2565756.239,392346.9914
2,3212,5,4.5,5800,2012,1,610000,3,92,1,1,1,0,1,2567546.488,394377.5047
2,3159,5,4.5,6000,2012,9,415000,3,114,1,1,2,1,1,2567054.619,400019.6323
2,2526,4,2.5,4880,2012,3,220000,3,114,1,1,1,0,1,2566740.216,397380.6069
2,2466,4,3.5,7200,2012,12,502500,3,93,1,1,2,1,1,2567662.285,400938.77
2,2292,5,1,6890,2012,2,380000,3,92,1,1,1,0,1,2565487.876,396755.5598
2.5,2112,3,3,2133,2012,2,170000,3,9,0,1,0,1,1,2561085.537,396728.677
2,1725,3,1,5400,2012,4,170000,3,85,1,1,0,1,1,2563578.046,397620.1501
2,1534,4,1.5,5520,2012,3,142000,3,52,1,0,0,0,1,2561846.931,394497.5037
1,1694,2,1,3840,2012,10,200000,3,112,1,1,0,1,0,2561141.379,390689.1576
1,1662,3,2.5,2775,2012,8,105000,3,120,1,1,0,1,0,2560878.625,394872.4374
1,1000,2,1,2750,2012,5,87000,3,122,1,0,0,0,0,2560970.235,391035.0096
1,900,1,1,2217,2012,8,112000,3,111,1,1,0,0,0,2563630.768,395869.7333
2,2940,6,2,4140,2012,8,222000,3,88,1,0,0,0,0,2563168.492,392358.4273
1.5,2234,4,2,5400,2012,1,150000,3,87,1,0,0,0,1,2561546.72,401136.9374
2,2047,4,2,3600,2012,8,126000,3,90,1,0,0,0,0,2560595.258,397049.6197
1.5,1952,4,2,4800,2012,10,161750,3,88,1,0,0,1,1,2560887.586,400173.4375
1.5,1678,4,2,3690,2012,9,125000,3,91,1,0,0,0,1,2560753.074,400921.7075
2,2080,4,2,4838,2012,9,155000,3,59,1,0,0,1,1,2561903.564,401152.2428
2,3944,6,2,4800,2012,2,300000,3,102,1,1,0,0,1,2565085.761,397035.3847
2,3056,6,2,4800,2012,4,248000,3,106,1,0,0,0,0,2566225.597,396651.379
2,2918,6,2,4840,2012,6,240500,3,99,1,0,0,0,1,2566074.135,397777.2902
2,2468,2,2.5,4200,2012,5,229500,3,115,1,1,0,0,1,2563437.499,397819.4535
2,2362,4,3,2500,2012,6,279000,3,99,1,0,0,0,0,2561316.572,390979.209
2,2224,4,2,6400,2012,9,100000,3,122,1,0,0,0,1,2561608.235,395404.6973
2,2090,5,3,3840,2012,2,128000,3,100,1,1,0,0,1,2560430.113,399152.1999
1,2020,4,2,3600,2012,10,149000,3,122,1,1,0,0,0,2560807.285,395833.3682
2,1988,4,2,4560,2012,10,139000,3,90,1,1,0,0,1,2560886.518,400367.2864
2,1936,6,2,3600,2012,6,169900,3,118,1,0,0,0,0,2560444.164,397923.731
1,1898,4,2,5080,2012,9,175000,3,122,1,1,0,1,1,2564478.23,394261.5705
2,1872,4,2.5,2869,2012,1,149900,3,72,1,0,0,1,0,2561829.221,394189.0776
2,1872,4,2,1680,2012,12,159900,3,117,1,0,0,0,0,2560780.789,389885.6307
1.5,1796,4,2.5,2730,2012,12,131000,3,122,1,0,0,0,1,2562234.564,395392.8558
2,1642,4,2,3600,2012,12,127000,3,102,1,0,0,0,0,2560906.76,397814.1699
1.5,1594,3,2,2400,2012,4,135000,3,114,1,0,0,0,0,2564156.755,401236.5988
2,1496,4,2,3600,2012,11,129000,3,104,1,0,0,0,1,2561252.137,396669.6929
2,2310,4,2,3600,2012,8,64100,3,117,1,0,0,0,1,2561130.683,395928.7848
2,6567,6,4,9600,2012,9,867000,3,95,1,1,2,1,1,2568289.344,398445.1037
2,6143,6,4,11400,2012,9,975000,3,97,1,1,2,1,0,2568403.645,397993.8038
2,5044,5,3.5,9600,2012,2,545000,3,100,1,1,2,1,1,2568288.211,398525.5596
2,4818,6,4,20790,2012,10,955000,3,86,1,1,2,1,1,2568158.578,400980.2128
2,4562,6,3.5,9000,2012,8,540000,3,96,1,1,4,0,1,2568262.805,399017.1103
